sitecode;countrycode;sitename;sitelat;sitelong;sitealt
BRCTC;BR;CT Canaviera   Bresil;-22.7;-47.55;566
GPSJE;GP;Saint-jean     Guadeloupe;NA;NA;NA
MACTS;MA;CTCS Maroc;38.8;9;9
MUBVU;MU;Belle Vue   Maurice;NA;NA;NA
REBXA;RE;Xavier Barau;NA;NA;550
RECOL;RE;Colimacons;NA;NA;NA
REESA;RE;Etang Sale eRcane;NA;NA;NA
RELBR;RE;La Bretagne;NA;NA;NA
RELMA;RE;La Mare;-20.903533;55.532001;70
RELPA;RE;Ligne Paradis;NA;NA;NA
REMEN;RE;Menciol eRcane;NA;NA;NA
REMOU;RE;Moutama;NA;NA;NA
RETIR;RE;Tirano;NA;NA;NA
REVB1;RE;Vue Belle Delicas;-21.06909;55.294127;650
REVB2;RE;Vue Belle D Sabatier;NA;NA;NA
SNCSS;SN;Senegal;15.5;16.72;4
REBMA;RE;Bassin Martin;NA;NA;NA
BRCCA;BR;Collections CCA Bresil;-22.7;-46.55;566
CIBAP;RE;Bassin Plat (CIRAD);-21.323056;55.490833;157
REISA;RE;Isautier;-21.3025;55.543333;665
GPGOD;GP;Godet   Guadeloupe;16.38;-61.48;15
GPFRO;GP;Fromager Rebecca;16.03;-61.34;100
GPROU;GP;Roujol Station;16.11;-61.35;10
INGG;AU;Ingham- Agmip;-18.7;146.2;16
AYRG;AU;Agmip - Ayr;-19.6;147.43;11
CHIG;ZM;Agmip - Chiredzi;-21.3;31.6;420
HOUG;US;Agmip - Houma;29.6374;-90.8395;2
LAMG;ZA;Agmip - Lamercy;-29.57;31.13;72
KOMG;ZA;Agmip - Komatipoort;-25.6165;31.866;187
SCSG;EC;Agmip - Sancarlos;-2.2088;-79.433;44
EREC;US;EREC Belle Glade Florida;26.6505;-83.6355;5
PONGO;ZA;Pongola sasri station;-27.4;31.583;308
