"trialcode";"wscode";"weathweight";"rainweight"
"BCCA";201;100;0
"BCSU";201;100;0
"BCTC";201;100;0
"BXAA";974002;100;0
"CCYC";97413520;100;0
"CP02";97413520;100;0
"CP04";97413520;100;0
"CVA1";97413520;100;0
"DEL0";97416455;100;0
"DEL1";97418123;100;0
"DEL2";974003;100;0
"DEL3";97418123;100;0
"DEL4";974003;100;0
"GGO1";97105;100;0
"GRB1";97100;100;0
"GSJ1";97117;100;0
"GVER";97198;100;0
"LBIR";97418123;100;0
"LBNV";97418123;100;0
"LGDE";97418123;100;0
"LINV";97418123;100;0
"LMSH";97418123;100;0
"LSE1";97416465;100;0
"MCT0";1030;100;0
"MCT0";1031;0;100
"MOUT";97404540;100;0
"MREG";1030;100;0
"MREG";1031;0;100
"MSTR";1030;100;0
"MSTR";1031;0;100
"NAYA";1001;100;0
"SDM1";1100;100;0
"SYP0";97418123;100;0
"SYP1";97418123;100;0
"TIR1";974001;100;0
"SYP2";974005;100;0
"GRV6";97100;100;0
"GRV8";97100;100;0
"GRV7";97105;100;0
"GRV5";97100;100;0
"GRV4";97100;100;0
"GRV3";97100;100;0
"GRAN";97100;100;0
"GRAJ";97100;100;0
"GRA2";97100;100;0
"GRA6";97105;100;0
"GRR1";97101;100;0
"AYRG";501;100;0
"CHIG";508;100;0
"HOUG";507;100;0
"INGG";504;100;0
"KOMG";506;100;0
"LAMG";505;100;0
"PIRG";503;100;0
"SCSG";502;100;0
"DSLM";97418123;100;0
"DSVB";101;100;0
"DSES";97404540;100;0
"DSME";103;100;0
