LOC;LAT;LONG
Nord;-20.9093327;55.59185028
Nord;-20.92296241;55.63510895
Nord;-20.94091967;55.60832977
Nord;-20.92392446;55.65193176
Nord;-20.95085937;55.64094543
Nord;-20.97554544;55.61759949
Nord;-20.93033798;55.66223145
Nord;-20.96079841;55.67939758
Nord;-20.97330142;55.64300537
Nord;-20.98131563;55.65158844
Est;-21.18569224;55.81878662
Est;-21.05983204;55.71647644
Est;-21.07521;55.6962204
Est;-21.07777284;55.73055267
Est;-21.11396822;55.71372986
Est;-21.09603179;55.74256897
Est;-21.12485714;55.7460022
Est;-21.1376666;55.76934814
Est;-21.14407092;55.80299377
Est;-21.16648386;55.81192017
Sud;-21.3146438;55.79303741
Sud;-21.33191409;55.7988739
Sud;-21.34150781;55.79612732
Sud;-21.34502536;55.78342438
Sud;-21.35301945;55.77484131
Sud;-21.35525772;55.7566452
Sud;-21.35621697;55.73535919
Sud;-21.35749596;55.72231293
Sud;-21.36740773;55.69587708
Sud;-21.35525772;55.66635132
Sudouest;-21.35397872;55.59356689
Sudouest;-21.36421046;55.5544281
Sudouest;-21.32263956;55.56404114
Sudouest;-21.34758351;55.53245544
Sudouest;-21.29769136;55.54069519
Sudouest;-21.33351309;55.49812317
Sudouest;-21.28489577;55.49263
Sudouest;-21.3130446;55.44456482
Sudouest;-21.25354187;55.44662476
Sudouest;-21.2695396;55.39031982
Ouest;-20.96656916;55.35461426
Ouest;-20.98259786;55.34362793
Ouest;-21.00695818;55.34431458
Ouest;-21.02810998;55.33401489
Ouest;-21.03259634;55.29144287
Ouest;-21.06271553;55.24612427
Ouest;-21.06976382;55.27770996
Ouest;-21.0665601;55.24200439
Ouest;-21.08706276;55.27839661
Ouest;-21.12261537;55.29075623
