nosimul;treatcode;lati;longi;alti;dates;age;agetu;glai;ei;blagnb;blatnb;stagnb;statnb;stahtvd;blastvd;stamfm;stamdm;stamwc;stamsu;stamsuc;stamfbc;stampur;stambjc;agrfm;agrdm;agrwc;bladm;blagdm;ostagnb;ostadnb;ostafnb;ostahtvd;oblatnb;oblagnb;oblastvd;oglai;oei;ostamsu;ostamfm;ostamdm;ostamwc;ostamsuc;ostamfbc;ostambjc;ostampur;oblagdm;obladm;oagrfm;oagrdm;oagrwc;osendm;hv1;hv2;hv3;hv4;hv5;hv6;stock;stockm;stockfr;ohv1;ohv2;ohv3;ohv4;ohv5;ohv6;ostock;ostockfr;profrac;drac1;drac2;drac3;drac4;drac5;drac6;precip;tempmn;tempmx;tempmm;solrad;eeq;etm;etr;tmp;trp;swdef;swdf1;swdf2;swan;djbl;djgrow;pari;stmo;spar;spari;spr;sirr;setp;setm;setr;stmp;strp;sddbla;swdefm;swdf1m;swdf2m;sddgr;sdrain;srunoff;sddblat;sddgrt;sparit;swdeft;swdf1t;swdf2t;stmot;setmt;setrt;srunofft;sdraint;setpt;stmpt;strpt;durjour;srgx 
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;10/12/2004;  42;   0; 0.067562; 0.031909;    4.548;    4.548;    3.386;    0.000;   15.350;  181.912;    0.000;    0.000;    0.000;    0.000;    0.000; -999.000; -999.000; -999.000;    1.238;    0.149;   87.960; -999.000; -999.000;    2.183; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;    0.019; -999.000;    0.000;    0.000;    0.000; -999.000; -999.000; -999.000; -999.000; -999.000;    0.031; -999.000; -999.000;    0.041; -999.000; -999.000;    0.205;    0.286;    0.291;    0.274;    0.254;    0.254;  109.833;    0.000;   34.508; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;   29.283;    0.029;    0.099;    0.040;    0.000;    0.000;    0.000;    0.000;   17.400;   26.300; -999.000;   13.640;    2.445;    2.466;    2.466;    0.091;    0.091;    1.000;    1.000;    1.000;    0.000;    0.000;    0.000;    0.218;  976.100;  408.330;    5.646;  144.000;    0.000;  158.373;   66.120;   66.120;    2.416;    2.416;  233.500;    0.618;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;  388.100;   13.258; 1310.656
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;05/01/2005;  68;   0; 0.098747; 0.046293;    8.060;    8.060;    7.645;    0.000;   42.675;  322.398;    0.000;    0.000;    0.000;    0.000;    0.000; -999.000; -999.000; -999.000;    3.467;    0.417;   87.960; -999.000; -999.000;    5.040; -999.000; -999.000; -999.000;    6.875;    6.167; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;    0.205;    0.358;    0.283;    0.296;    0.255;    0.254;  123.275;    0.000;   63.084; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;   47.504;    0.080;    0.172;    0.113;    0.032;    0.000;    0.000;    9.600;   20.500;   28.000; -999.000;   16.750;    2.868;    2.903;    2.903;    0.154;    0.154;    1.000;    1.000;    1.000;    0.000;    0.000;    0.000;    0.388; 1583.450;  662.365;   15.458;  424.000;    0.000;  246.482;  129.802;  129.802;    6.370;    6.370;  528.850;    0.759;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;  631.450;   13.227; 2139.158
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;24/01/2005;  87;   0; 0.135124; 0.062801;   10.000;   10.525;   11.275;    0.000;   93.510;  421.014;    0.000;    0.000;    0.000;    0.000;    0.000; -999.000; -999.000; -999.000;    5.704;    0.687;   87.960; -999.000; -999.000;    5.437; -999.000; -999.000; -999.000;   10.041;    5.833; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;    0.218;    0.284;    0.292;    0.294;    0.255;    0.254;  114.443;    0.000;   70.566; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;   61.707;    0.113;    0.229;    0.170;    0.089;    0.009;    0.000;    8.000;   21.100;   30.500; -999.000;   21.100;    3.418;    3.472;    3.472;    0.249;    0.249;    1.000;    1.000;    1.000;    0.000;    0.000;    0.000;    0.663; 2056.900;  838.625;   25.009;  548.800;    0.000;  308.795;  173.681;  173.681;   10.260;   10.260;  774.300;    0.811;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;  838.900;   13.038; 2739.556
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;15/02/2005; 109;   0; 0.180755; 0.083105;   10.000;   12.616;   13.860;    0.000;  135.720;  504.627;    0.000;    0.000;    0.000;    0.000;    0.000; -999.000; -999.000; -999.000;    9.920;    1.194;   87.960; -999.000; -999.000;    6.468; -999.000; -999.000; -999.000;   12.459;    5.417; -999.000; -999.000; -999.000; -999.000; -999.000;    0.738; -999.000; -999.000; -999.000; -999.000; -999.000;    1.142; -999.000; -999.000;    4.266; -999.000; -999.000;    0.267;    0.292;    0.355;    0.289;    0.253;    0.254;  129.492;    0.000;  102.711; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;   76.488;    0.139;    0.288;    0.229;    0.148;    0.068;    0.000;    0.000;   15.400;   28.800; -999.000;   26.400;    4.432;    4.521;    4.521;    0.429;    0.429;    1.000;    1.000;    1.000;   30.000;    0.000;    0.000;    1.097; 2549.599; 1071.230;   42.300;  650.200;   30.000;  387.265;  216.434;  216.434;   17.080;   17.080; 1003.000;    0.849;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000; 1023.600;   12.690; 3416.446
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;07/03/2005; 129;   0; 0.246195; 0.111458;   10.000;   14.702;   12.219;    0.000;  185.250;  588.078;    0.000;    0.000;    0.000;    0.000;    0.000; -999.000; -999.000; -999.000;   14.412;    1.873;   87.004; -999.000; -999.000;    7.579; -999.000; -999.000; -999.000;   15.500;    7.125; -999.000;    1.817; -999.000; -999.000;   16.190;    5.689;   64.917; -999.000; -999.000; -999.000; -999.000;    1.828; -999.000; -999.000;    8.870; -999.000; -999.000;    0.114;    0.282;    0.291;    0.287;    0.248;    0.253;  105.791;    0.000;   95.671; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;   91.041;    0.172;    0.346;    0.287;    0.206;    0.126;    0.046;    0.000;   16.800;   32.100; -999.000;   24.450;    4.430;    1.891;    1.891;    0.573;    0.573;    1.000;    1.000;    1.000;    0.000;    0.000;    0.000;    1.363; 3034.699; 1295.345;   64.161;  683.800;  110.000;  467.125;  267.412;  267.412;   26.098;   26.098; 1248.100;    0.873;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000;    0.000; 1228.700;   12.304; 4000.951
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;11/04/2005; 164;  32; 0.426908; 0.185284;   10.000;   18.195;   10.055;    0.000;  276.525;  727.785;    0.592;    0.084;   85.748;    0.000;    0.000; -999.000; -999.000; -999.000;   22.387;    3.406;   84.785; -999.000; -999.000;    7.738; -999.000; -999.000; -999.000;   20.208;    7.875; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;    0.093;    0.280;    0.284;    0.282;    0.236;    0.246;   98.469;    0.000;   98.469; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;  100.000;    0.200;    0.382;    0.323;    0.242;    0.162;    0.082;    0.000;   16.500;   32.200; -999.000;   21.290;    3.710;    0.797;    0.797;    0.797;    0.797;    0.929;    1.000;    1.000;    0.000;    0.000;    0.000;    1.972; 3898.949; 1599.760;  109.346;  876.000;  190.000;  573.725;  346.879;  346.879;   44.479;   44.479; 1692.350;    0.897;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;   41.582;   31.636;   32.000;   32.000;  785.600;   73.267;   73.267;    0.000;    0.000;   94.790;   16.806; 1602.950;   11.590; 4914.398
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;31/05/2005; 214;  82; 0.704590; 0.286950;   10.000;   21.231;   10.055;    0.000;  341.775;  800.000;    4.610;    0.819;   82.229;    0.087;    1.884; -999.000; -999.000; -999.000;   38.855;    6.705;   82.744; -999.000; -999.000;    6.270; -999.000; -999.000; -999.000;   24.333;    5.583; -999.000;    5.168; -999.000; -999.000; -999.000;   24.167; -999.000; -999.000; -999.000; -999.000; -999.000;    5.310; -999.000; -999.000;   38.997; -999.000; -999.000;    0.175;    0.280;    0.289;    0.272;    0.313;    0.236;  114.701;    0.000;  114.701; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;  100.000;    0.200;    0.382;    0.323;    0.242;    0.162;    0.082;    0.000;   13.000;   27.400; -999.000;   14.240;    1.990;    1.663;    1.663;    0.664;    0.664;    1.000;    1.000;    1.000;    0.000;    0.000;    0.000;    2.043; 4916.450; 1975.055;  197.245; 1019.600;  455.000;  683.035;  452.267;  452.267;   74.010;   74.010; 2109.850;    0.913;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;  129.480;   79.734;   82.000;   82.000; 1803.100;  178.655;  178.655;    0.000;    0.000;  204.100;   46.337; 1920.450;   10.817; 5949.340
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;27/07/2005; 271; 139; 1.029426; 0.389895;   10.000;   23.511;   10.055;    0.000;  378.150;  800.000;   12.972;    2.826;   78.218;    0.848;    6.538; -999.000; -999.000; -999.000;   61.077;   11.500;   81.171; -999.000; -999.000;    6.230; -999.000; -999.000; -999.000;   27.541;    5.833; -999.000; -999.000; -999.000; -999.000; -999.000;   29.286; -999.000; -999.000; -999.000; -999.000; -999.000;    6.141; -999.000; -999.000;   50.363; -999.000; -999.000;    0.216;    0.283;    0.258;    0.238;    0.280;    0.219;   94.218;    0.000;   94.218; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;  100.000;    0.200;    0.382;    0.323;    0.242;    0.162;    0.082;    0.400;    8.700;   20.000; -999.000;    9.090;    0.730;    0.772;    0.772;    0.332;    0.332;    0.889;    1.000;    1.000;    0.000;    0.000;    0.000;    1.772; 5931.400; 2346.820;  324.248; 1087.400;  700.000;  791.345;  562.887;  562.887;  117.273;  117.273; 2440.800;    0.926;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;  256.483;  135.482;  139.000;  139.000; 2818.050;  289.274;  289.274;    0.000;    0.000;  312.410;   89.600; 2139.150;   10.981; 6980.558
  1;BCSU-0-0-IRR-R570;  -21.000000;   55.000000; 100.0;27/09/2005; 333; 201; 1.719027; 0.561823;   10.000;   26.703;   10.055;    0.000;  450.930;  800.000;   30.031;    7.852;   73.855;    3.568;   11.882; -999.000; -999.000; -999.000;   94.249;   19.980;   78.801; -999.000; -999.000;    6.349; -999.000; -999.000; -999.000;   32.000;    6.917; -999.000;    4.617; -999.000; -999.000;  110.833;   30.505;   72.480; -999.000; -999.000; -999.000; -999.000;    6.828; -999.000; -999.000;   56.895; -999.000; -999.000;    0.218;    0.190;    0.222;    0.209;    0.185;    0.189;   42.396;    0.000;   42.396; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000; -999.000;  100.000;    0.200;    0.382;    0.323;    0.242;    0.162;    0.082;    0.000;   11.800;   19.000; -999.000;    8.140;    1.530;    1.683;    1.683;    0.982;    0.982;    0.400;    1.000;    1.000;    0.000;    0.000;    0.000;    2.287; 7162.201; 2826.544;  548.881; 1152.200;  910.000;  968.136;  748.530;  748.036;  213.755;  213.261; 2927.600;    0.880;    1.000;    1.000;    0.000;    0.000;    0.000;    0.000;    0.000;  481.116;  177.343;  201.000;  201.000; 4048.850;  474.918;  474.424;    0.000;    0.000;  489.201;  186.082; 2501.950;   12.136; 8414.444
